Link,Date
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=949858837&player=shnateman,"3.03.2012 3:20AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=949856455&player=shnateman,"3.03.2012 3:12AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=949853832&player=shnateman,"3.03.2012 3:03AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=949850545&player=shnateman,"3.03.2012 2:52AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=949849881&player=shnateman,"3.03.2012 2:49AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=949837671&player=shnateman,"3.03.2012 2:06AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=948122018&player=shnateman,"3.01.2012 12:29AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=916257001&player=shnateman,"1.26.2012 7:23PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=909541050&player=shnateman,"1.19.2012 5:17PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=908638022&player=shnateman,"1.18.2012 4:08PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=908631461&player=shnateman,"1.18.2012 4:01PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=908613863&player=shnateman,"1.18.2012 3:45PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=895212848&player=shnateman,"1.05.2012 1:35AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853323376&player=shnateman,"11.17.2011 11:19PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853318483&player=shnateman,"11.17.2011 11:00PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853313906&player=shnateman,"11.17.2011 10:42PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853311289&player=shnateman,"11.17.2011 10:33PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853308502&player=shnateman,"11.17.2011 10:24PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853305908&player=shnateman,"11.17.2011 10:15PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853303182&player=shnateman,"11.17.2011 10:07PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853300156&player=shnateman,"11.17.2011 9:58PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853296515&player=shnateman,"11.17.2011 9:48PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853123313&player=shnateman,"11.17.2011 4:46PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=852442474&player=shnateman,"11.16.2011 11:04AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=852439868&player=shnateman,"11.16.2011 10:56AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=852435241&player=shnateman,"11.16.2011 10:44AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849909128&player=shnateman,"11.12.2011 9:44AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849149806&player=shnateman,"11.11.2011 12:33PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849144152&player=shnateman,"11.11.2011 12:25PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849138776&player=shnateman,"11.11.2011 12:18PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849132335&player=shnateman,"11.11.2011 12:09PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849125689&player=shnateman,"11.11.2011 12:00PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849122007&player=shnateman,"11.11.2011 11:54AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849117023&player=shnateman,"11.11.2011 11:47AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849111596&player=shnateman,"11.11.2011 11:39AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849105932&player=shnateman,"11.11.2011 11:30AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849101487&player=shnateman,"11.11.2011 11:24AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=848825049&player=shnateman,"11.10.2011 10:30PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=848819795&player=shnateman,"11.10.2011 10:18PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=848810222&player=shnateman,"11.10.2011 9:57PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=848804774&player=shnateman,"11.10.2011 9:46PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=848796445&player=shnateman,"11.10.2011 9:31PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=846412226&player=shnateman,"11.07.2011 8:52AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=846408497&player=shnateman,"11.07.2011 8:43AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=846404875&player=shnateman,"11.07.2011 8:35AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=842941327&player=shnateman,"11.03.2011 2:13PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=842936043&player=shnateman,"11.03.2011 2:07PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=842928190&player=shnateman,"11.03.2011 1:57PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=842922380&player=shnateman,"11.03.2011 1:50PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=842911112&player=shnateman,"11.03.2011 1:36PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=842905410&player=shnateman,"11.03.2011 1:28PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=842898537&player=shnateman,"11.03.2011 1:19PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=834334440&player=shnateman,"10.23.2011 12:49PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=834285737&player=shnateman,"10.23.2011 12:08PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=834270707&player=shnateman,"10.23.2011 11:55AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=823724109&player=shnateman,"10.11.2011 2:06AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=823721616&player=shnateman,"10.11.2011 1:50AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778910357&player=shnateman,"8.30.2011 6:37PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778884037&player=shnateman,"8.30.2011 6:19PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778869837&player=shnateman,"8.30.2011 6:10PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778851335&player=shnateman,"8.30.2011 5:58PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778833769&player=shnateman,"8.30.2011 5:46PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778800605&player=shnateman,"8.30.2011 5:24PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778791796&player=shnateman,"8.30.2011 5:18PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778775926&player=shnateman,"8.30.2011 5:07PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778720453&player=shnateman,"8.30.2011 4:30PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=773658508&player=shnateman,"8.26.2011 11:39PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=773648355&player=shnateman,"8.26.2011 11:25PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=773613409&player=shnateman,"8.26.2011 10:44PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=773605228&player=shnateman,"8.26.2011 10:35PM"
