Link,Date,Gamertags
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=949858837&player=shnateman,"2012-03-03 03:20:00","Evasive Ebu,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=949856455&player=shnateman,"2012-03-03 03:12:00","Evasive Ebu,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=949853832&player=shnateman,"2012-03-03 03:03:00","Evasive Ebu,bigdsdeath79,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=949850545&player=shnateman,"2012-03-03 02:52:00","Evasive Ebu,bigdsdeath79,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=949849881&player=shnateman,"2012-03-03 02:49:00","Evasive Ebu,bigdsdeath79,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=949837671&player=shnateman,"2012-03-03 02:06:00","Evasive Ebu,bigdsdeath79,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=948122018&player=shnateman,"2012-03-01 00:29:00","Evasive Ebu,bigdsdeath79,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=916257001&player=shnateman,"2012-01-26 19:23:00","A Token Asian,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=909541050&player=shnateman,"2012-01-19 17:17:00","DrZoidbergOBGYN,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=908638022&player=shnateman,"2012-01-18 16:08:00","A Token Asian,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=908631461&player=shnateman,"2012-01-18 16:01:00","A Token Asian,BioticJoker,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=908613863&player=shnateman,"2012-01-18 15:45:00","A Token Asian,BioticJoker,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=895212848&player=shnateman,"2012-01-05 01:35:00","BioticJoker,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853323376&player=shnateman,"2011-11-17 23:19:00","BioticJoker,Evasive Ebu,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853318483&player=shnateman,"2011-11-17 23:00:00","BioticJoker,Evasive Ebu,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853313906&player=shnateman,"2011-11-17 22:42:00","BioticJoker,Evasive Ebu,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853311289&player=shnateman,"2011-11-17 22:33:00","BioticJoker,Evasive Ebu,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853308502&player=shnateman,"2011-11-17 22:24:00","BioticJoker,Evasive Ebu,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853305908&player=shnateman,"2011-11-17 22:15:00","BioticJoker,Evasive Ebu,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853303182&player=shnateman,"2011-11-17 22:07:00","BioticJoker,Evasive Ebu,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853300156&player=shnateman,"2011-11-17 21:58:00","BioticJoker,Evasive Ebu,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853296515&player=shnateman,"2011-11-17 21:48:00","BioticJoker,Evasive Ebu,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=853123313&player=shnateman,"2011-11-17 16:46:00","BioticJoker,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=852442474&player=shnateman,"2011-11-16 11:04:00","BioticJoker,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=852439868&player=shnateman,"2011-11-16 10:56:00","BioticJoker,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=852435241&player=shnateman,"2011-11-16 10:44:00","BioticJoker,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849909128&player=shnateman,"2011-11-12 09:44:00","BioticJoker,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849149806&player=shnateman,"2011-11-11 12:33:00","BioticJoker,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849144152&player=shnateman,"2011-11-11 12:25:00","BioticJoker,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849138776&player=shnateman,"2011-11-11 12:18:00","BioticJoker,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849132335&player=shnateman,"2011-11-11 12:09:00","BioticJoker,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=849125689&player=shnateman,"2011-11-11 12:00:00","BioticJoker,shnateman"
